Date,Close,Open,High,Low,Volume,Change
28/01/2021,30603.36,30377.19,30951.41,30377.19,46734000000,0.01
27/01/2021,30303.17,30893.78,30893.78,30206.91,56647000000,-0.02
26/01/2021,30937.04,30968.55,31121.42,30921.71,38187000000,0.00
25/01/2021,30960,30989.85,30989.85,30564.06,47735000000,0.00
22/01/2021,30996.98,31141.56,31141.56,30908.47,43604000000,-0.01
21/01/2021,31176.01,31198.01,31272.22,31120.92,42315000000,0.00
20/01/2021,31188.38,31017.54,31235.98,30997.79,38498000000,0.01
19/01/2021,30930.52,30887.42,31086.62,30865.03,38775000000,0.00
15/01/2021,30814.26,30926.77,30941.98,30612.67,44002000000,-0.01
14/01/2021,30991.52,31085.67,31223.78,30982.24,42970000000,0.00
13/01/2021,31060.47,31084.88,31153.37,30992.05,41514000000,0.00
12/1/2021,31068.69,31015.01,31114.56,30888.76,36287000000,0.00
11/1/2021,31008.69,31015.37,31096.98,30832.06,36379000000,0.00
8/1/2021,31097.97,31069.58,31140.67,30793.27,38565000000,0.00
7/1/2021,31041.13,30901.18,31193.4,30897.86,43062000000,0.01
6/1/2021,30829.4,30362.78,31022.65,30313.07,50043000000,0.01
5/1/2021,30391.6,30204.25,30504.89,30141.78,35091000000,0.01
4/1/2021,30223.89,30627.47,30674.28,29881.82,47673000000,-0.01
31/12/2020,30606.48,30417.64,30637.47,30344.5,28706000000,0.01
30/12/2020,30409.56,30415.09,30525.35,30393.04,29614000000,0.00
29/12/2020,30335.67,30492.07,30588.79,30274.24,35887000000,0.00
28/12/2020,30403.97,30283.23,30525.56,30283.23,30308000000,0.01
24/12/2020,30199.87,30155.92,30209.67,30099.3,14644000000,0.00
23/12/2020,30129.83,30046.73,30292.53,30046.73,27538000000,0.00
22/12/2020,30015.51,30200.2,30200.2,29992.89,39252000000,-0.01
21/12/2020,30216.45,30159,30304.14,29755.53,44569000000,0.00
18/12/2020,30179.05,30314.26,30343.59,30029.44,79823000000,0.00
17/12/2020,30303.37,30216,30323.78,30216,34553000000,0.00
16/12/2020,30154.54,30191.38,30236.03,30080.11,34954000000,0.00
15/12/2020,30199.31,29919.09,30243.26,29894.95,41948000000,0.01
14/12/2020,29861.55,30123.91,30325.79,29849.15,37198000000,-0.01
11/12/2020,30046.37,29988.21,30071.13,29820.84,39601000000,0.00
10/12/2020,29999.26,30032.55,30063.87,29876.82,32693000000,0.00
9/12/2020,30068.81,30229.81,30319.7,29951.85,38374000000,0.00
8/12/2020,30173.88,29997.95,30246.22,29972.07,31483000000,0.00
7/12/2020,30069.79,30233.03,30233.03,29967.22,37058000000,0.00
4/12/2020,30218.26,29989.56,30218.26,29989.56,36309000000,0.01
3/12/2020,29969.52,29920.83,30110.88,29877.27,40841000000,0.00
2/12/2020,29883.79,29695.09,29902.51,29599.29,38933000000,0.00
1/12/2020,29823.92,29797.5,30083.31,29797.5,43544000000,0.01
30/11/2020,29638.64,29854.51,29854.51,29463.64,56121000000,-0.01
27/11/2020,29910.37,29911.33,30015.13,29819.98,17810000000,0.00
25/11/2020,29872.47,30058.87,30058.87,29806.25,32419000000,-0.01
24/11/2020,30046.24,29746.11,30116.51,29746.11,43645000000,0.02
23/11/2020,29591.27,29332.82,29667.75,29332.82,38902000000,0.01
20/11/2020,29263.48,29437.57,29469.89,29231.2,30874000000,-0.01
19/11/2020,29483.23,29370.92,29524.9,29228.38,33316000000,0.00
18/11/2020,29438.42,29875.4,29930.85,29432.84,38489000000,-0.01
17/11/2020,29783.35,29800.15,29872.42,29520.29,37614000000,-0.01
16/11/2020,29950.44,29672.36,29964.29,29672.36,42076000000,0.02
13/11/2020,29479.81,29203.9,29559.25,29203.9,34881000000,0.01
12/11/2020,29080.17,29231.91,29311.83,28902.13,37287000000,-0.01
11/11/2020,29397.63,29524.35,29593.11,29281.22,37670000000,0.00
10/11/2020,29420.92,29254.17,29478.86,29126.99,52698000000,0.01
9/11/2020,29157.97,29467.9,29933.83,29130.66,68057000000,0.03
6/11/2020,28323.4,28399.13,28431.96,28189.5,32858000000,0.00
5/11/2020,28390.18,28083.37,28495.05,28083.37,39173000000,0.02
4/11/2020,27847.66,27512.83,28301.5,27512.83,44989000000,0.01
3/11/2020,27480.03,27138.69,27640.21,27138.69,35335000000,0.02
2/11/2020,26925.05,26691.28,27043.48,26691.28,38227000000,0.02
30/10/2020,26501.6,26572.27,26639.18,26143.77,50632000000,-0.01
29/10/2020,26659.11,26480.98,26891.89,26290.78,43401000000,0.01
28/10/2020,26519.95,27102.14,27102.14,26497.39,49963000000,-0.03
