,Date,Close,Open,High,Low,Volume,Change,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
106,23/12/2021,35950.56,35782.42,36060.99,35782.42,25094000000,0.01,278.5699999999997,-168.13999999999942,36351.602857142854,36339.09428571429,35929.29190476191,200.43546548420625,733.6822930710546
107,22/12/2021,35753.89,35491.71,35764.67,35433.13,29073000000,0.01,331.5400000000009,-262.1800000000003,36232.864285714284,36300.77785714286,35995.45333333333,272.37007256420094,642.4975579355421
108,21/12/2021,35492.7,35069.5,35508.96,35069.5,34967000000,0.02,439.4599999999991,-423.1999999999971,36112.06428571428,36246.540714285715,36053.89761904762,382.9035428084878,521.7233168920499
109,20/12/2021,34932.16,35222.12,35222.12,34665.5,38889000000,-0.01,556.6200000000026,289.9599999999991,35902.647142857146,36165.34714285714,36064.22,560.2188701961551,495.39678263972706
110,17/12/2021,35365.44,35800.11,35800.11,35284.26,76083000000,-0.01,515.8499999999985,434.66999999999825,35742.19142857143,36103.474285714285,36080.25761904762,524.0967542489931,464.6959435360269
111,16/12/2021,35897.64,36036.28,36189.83,35778.21,48277000000,0.0,411.6200000000026,138.63999999999942,35670.68142857143,36079.272142857146,36105.45619047619,448.3437257443542,437.7339175167367
112,15/12/2021,35927.43,35549.35,35943.84,35389.3,43238000000,0.01,554.5399999999936,-378.08000000000175,35617.11714285715,36045.00928571429,36106.200000000004,377.02020134716,437.40156092518373
113,14/12/2021,35544.18,35605.73,35779.47,35441.74,45123000000,0.0,337.7300000000032,61.55000000000291,35559.06285714286,35955.33285714286,36079.08380952381,347.22926637000637,454.24513704007074
114,13/12/2021,35650.95,35958.93,35958.93,35609.53,45159000000,-0.01,349.40000000000146,307.9800000000032,35544.357142857145,35888.610714285714,36048.63761904762,339.7010464469987,460.75939167730735
115,10/12/2021,35970.99,35830.55,35982.69,35710.43,36120000000,0.01,272.26000000000204,-140.43999999999505,35612.684285714284,35862.374285714286,36035.25523809524,373.9535958225504,458.6332003747514
116,9/12/2021,35754.69,35722.26,35864.24,35577.14,35302000000,0.0,287.09999999999854,-32.43000000000029,35730.188571428575,35816.41785714286,36020.294285714284,223.40145862176718,462.58916536762126
